Book ID	Book Name	Author 	Publication	Position
1	Advaced Computer Architecture	M Maheswari and Ambeth	sree kamalamani publications	1
2	Advanced Computer Architecture	Kai Hwang	tata mc graw hill	1
3	Advanced Computer Architecture	G.Elangovan	magnus publications	1
4	Advanced Computer Architecture	IA Dothre	technical publications	1
5	Advanced micrroprocessors and Peripherals	K M Bhurchandi	tata mc graw hill	1
6	Algorithms	Sanjay das Gupta	tata mc graw hill	1
7	Algorithms in C++	Robert Sedgewick	pearson	1
8	An embedded software Primer	David E Simon	pearson	1
9	An Introduction to Intel Family of Microprocessor	James L.Anotonakos	pearson	1
10	An Introduction to Intel Family of Microprocessor	K.Muralibabu	ars publications	1
11	Analysis and design of infromation System	JAmes A senn	tata mc graw hill	1
12	Analysis and design of infromation System	kavitha	magnus publications	1
13	Artificial Intelligence	Auxilliya	lakshmi publications	1
14	Artificial intelligence	KAvitha	magnus	1
15	Artificial Intelligence	PAtrick Henry Winston	pearson	1
16	Artificial Intelligence	neeta Desh pandey	technical publications	1
17	Artificial Neural Networks	Yegnanarayana	phi learning	1
18	Bio informatics	Pierre Valdi	east west press	1
19	C # The Basics	anonymus	anonymus	1
20	C# and Dot net	kavitha	magnus publications	1
21	C# and dot net framework	N Rajganesh	suchitra publications	1
22	C# and Dot Nett Framework	V R Kavitha	magnus publications	1
23	Cloud to code	Jessy Liberty	wrox	1
24	Compiler design	OG Kakde	lakshmi publications	1
25	Compilers	Alfred V.Aho	pearson	1
26	Complete handbook of computer programming laboratory	P Sheela Kumar	anonymus	1
27	Computer Algorithms	Sara Basee	pearson	1
28	Computer Architecture	Behrooz	oxford	1
29	Computer Architecture	Js Leena jasmine	magnus publications	1
30	Computer Architecture	KAnimozhi	oxford	1
31	Computer Architecture	Godse	technical publication	1
32	Computer Architecture	Venkatesan	ar publications	1
33	Computer Architecture	Leena Jasmine	magnus publications	1
34	Computer architecture and organisation	Govindarajan	tata mc graw hill	1
35	Computer architecture and organisation	JS Leena jasmine	magnus publications	1
36	Computer as components	Wolf	elseiver	1
37	Computer Graphics	Saranya	lakshmi publications	1
38	Computer Graphics	EzhilArasi	ars publications	1
39	Computer graphics	M selvakumar	ars publications	1
40	Computer Graphics principles and practice	foley	pearson	1
41	Computer Network and systems	Robert Azzi	springer verlag	1
42	Computer Networks	Bagad	technical publication	1
43	Computer Networks	K Murali babu	ars publications	1
44	Computer Networks	JAyaprakash	anuradha	1
45	Computer Networks	JAyaprakash	anuradha	1
46	Computer Networks	Anand Kumar	ars publications	1
47	Computer Networks	Murali babu	lakshmi publications	1
48	Computer networks	K murali babu	ars publications	1
49	Computer Networks	D kokila	magnus publications	1
50	Computer Networks	K murali babu	ars publications	1
51	Computer networks and internets	Douglas	pearson	1
52	Computer networks and internets	Anand Kumar	ars publications	1
53	Computer Organisation and architecture	lalit k arora	sk kataria	1
54	Computer Organisation and architecture	M Auxilliya	lakshmi publications	1
55	Computer Organisation and architecture	M Auxilliya	lakshmi publications	1
56	Computer Organisation and architecture	Godse	technical publication	1
57	Computer Organisation and architecture	William Stahllings	prentice hall india	1
58	Computer Organisation and architecture	J S Leena Jasmine	magnus publications	1
59	Computer Organisation and architecture	P N Basu	vikas publications	1
60	Computer Organisation and architecture	JS Leena Jasmine	magnus	1
61	Computer Practice Laboratory	V Ramesh Babu	vrb publishers	1
62	Computer practice laboratory I	RAmesh BAbu	vrb publishers	1
63	Computer practice laboratory I	RAmesh BAbu	vrb publishers	1
64	Computer Practice Laboratry - I	V Ramesh Babu	vrb publishers	1
65	Computer practices I and II	Niranjana	Sri krishna	1
66	Computer Practices laboratory	RAmesh BAbu	vrb publishers	1
67	Computer Practices laboratory	RAmesh BAbu	vrb publishers	1
68	Computer Practices laboratory	V Ramesh Babu	vrb publishers	1
69	Computer Programming	E Balagurusamy	mcgrawhill	1
70	Computer Programming	Helda Mercy	global publishing house	1
71	Computer Programming	JB Dixit	lakshmi publications	1
72	Computer Programming	Godse	technical publication	1
73	Computer Programming	Kannan	ug publishers	1
74	Computer Programming	Helda Mercy	gp publishers	1
75	Computer Programming	Sudarsan	rva publications	1
76	Computer Programming	E Balagurusamy	mcgrawhill	1
77	Computer Programming	RAmesh BAbu	vrb publishers	1
78	Computer Programming	E Balagurusamy	mcgrawhill	1
79	Computer Programming	E Balagurusamy	mcgrawhill	1
80	Computer Programming	E Balagurusamy	mcgrawhill	1
81	Computer Programming	E Balagurusamy	tata mc graw hill	1
82	Computer Programming	Ashok N Kamthane	pearson	1
83	Computer Programming	Itlesel	pearson	1
393	Computer Programming Laboratory 	V Ramesh Babu	vrb publishers	1
395	Computer Programming Laboratory 	Jeyapoovan	vikas publishing house	1
396	Computer Programming Laboratory 	V Ramesh Babu	vrb publishers	1
